,Proto-Germanic Root,Dutch Word,English Word,Proto-Germanic URL,Dutch URL,English URL
0,*skurtijǭ,schort,shirt,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skurtij%C7%AD,https://en.wiktionary.org/wiki/schort,https://en.wiktionary.org/wiki/shirt
1,*silubrīnaz,zilveren,silvern,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/silubr%C4%ABnaz,https://en.wiktionary.org/wiki/zilveren,https://en.wiktionary.org/wiki/silvern
2,*fimftô,vijfde,fifth,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fimft%C3%B4,https://en.wiktionary.org/wiki/vijfde,https://en.wiktionary.org/wiki/fifth
3,*unrehtaz,onrecht,unright,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/unrehtaz,https://en.wiktionary.org/wiki/onrecht,https://en.wiktionary.org/wiki/unright
4,*ahwō,a,ea,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ahw%C5%8D,https://en.wiktionary.org/wiki/a,https://en.wiktionary.org/wiki/ea
5,*ahwō,a,eau,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ahw%C5%8D,https://en.wiktionary.org/wiki/a,https://en.wiktionary.org/wiki/eau
6,*ahwō,a,Eau,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ahw%C5%8D,https://en.wiktionary.org/wiki/a,https://en.wiktionary.org/wiki/Eau
7,*ahwō,a,Vltava,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ahw%C5%8D,https://en.wiktionary.org/wiki/a,https://en.wiktionary.org/wiki/Vltava
8,*ahwō,a,yeo,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ahw%C5%8D,https://en.wiktionary.org/wiki/a,https://en.wiktionary.org/wiki/yeo
9,*ahwō,Aa,ea,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ahw%C5%8D,https://en.wiktionary.org/wiki/Aa,https://en.wiktionary.org/wiki/ea
10,*ahwō,Aa,eau,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ahw%C5%8D,https://en.wiktionary.org/wiki/Aa,https://en.wiktionary.org/wiki/eau
11,*ahwō,Aa,Eau,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ahw%C5%8D,https://en.wiktionary.org/wiki/Aa,https://en.wiktionary.org/wiki/Eau
12,*ahwō,Aa,Vltava,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ahw%C5%8D,https://en.wiktionary.org/wiki/Aa,https://en.wiktionary.org/wiki/Vltava
13,*ahwō,Aa,yeo,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ahw%C5%8D,https://en.wiktionary.org/wiki/Aa,https://en.wiktionary.org/wiki/yeo
14,*ēlaz,aal,eel,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/%C4%93laz,https://en.wiktionary.org/wiki/aal,https://en.wiktionary.org/wiki/eel
15,*adalaz,aalt,addle,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/adalaz,https://en.wiktionary.org/wiki/aalt,https://en.wiktionary.org/wiki/addle
16,*ana,aan,anent,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ana,https://en.wiktionary.org/wiki/aan,https://en.wiktionary.org/wiki/anent
17,*ana,aan,anneal,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ana,https://en.wiktionary.org/wiki/aan,https://en.wiktionary.org/wiki/anneal
18,*ana,aan,on,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ana,https://en.wiktionary.org/wiki/aan,https://en.wiktionary.org/wiki/on
19,*apô,aap,ape,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ap%C3%B4,https://en.wiktionary.org/wiki/aap,https://en.wiktionary.org/wiki/ape
20,*erþō,aarde,earth,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/er%C3%BE%C5%8D,https://en.wiktionary.org/wiki/aarde,https://en.wiktionary.org/wiki/earth
21,*erþō,aarde,Earth,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/er%C3%BE%C5%8D,https://en.wiktionary.org/wiki/aarde,https://en.wiktionary.org/wiki/Earth
22,*irþīnaz,aarden,earthen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ir%C3%BE%C4%ABnaz,https://en.wiktionary.org/wiki/aarden,https://en.wiktionary.org/wiki/earthen
23,*arsaz,aars,arse,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/arsaz,https://en.wiktionary.org/wiki/aars,https://en.wiktionary.org/wiki/arse
24,*arsaz,aars,ass,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/arsaz,https://en.wiktionary.org/wiki/aars,https://en.wiktionary.org/wiki/ass
25,*ahtōu,acht,eight,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/aht%C5%8Du,https://en.wiktionary.org/wiki/acht,https://en.wiktionary.org/wiki/eight
26,*after,achter,after,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/after,https://en.wiktionary.org/wiki/achter,https://en.wiktionary.org/wiki/after
27,*nadrǭ,adder,adder,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/nadr%C7%AD,https://en.wiktionary.org/wiki/adder,https://en.wiktionary.org/wiki/adder
28,*ab,af-,of,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ab,https://en.wiktionary.org/wiki/af-,https://en.wiktionary.org/wiki/of
29,*ab,af-,off,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ab,https://en.wiktionary.org/wiki/af-,https://en.wiktionary.org/wiki/off
30,*abalagjaną,afleggen,offlay,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/abalagjan%C4%85,https://en.wiktionary.org/wiki/afleggen,https://en.wiktionary.org/wiki/offlay
31,*akraną,aker,acorn,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/akran%C4%85,https://en.wiktionary.org/wiki/aker,https://en.wiktionary.org/wiki/acorn
32,*akraz,akker,acre,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/akraz,https://en.wiktionary.org/wiki/akker,https://en.wiktionary.org/wiki/acre
33,*allaz,al,all,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/allaz,https://en.wiktionary.org/wiki/al,https://en.wiktionary.org/wiki/all
34,*alamahtīgaz,almachtig,almighty,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/alamaht%C4%ABgaz,https://en.wiktionary.org/wiki/almachtig,https://en.wiktionary.org/wiki/almighty
35,*angustiz,angst,angst,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/angustiz,https://en.wiktionary.org/wiki/angst,https://en.wiktionary.org/wiki/angst
36,*aplaz,appel,apple,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/aplaz,https://en.wiktionary.org/wiki/appel,https://en.wiktionary.org/wiki/apple
37,*armaz,arm,arm,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/armaz,https://en.wiktionary.org/wiki/arm,https://en.wiktionary.org/wiki/arm
38,*nabōgaizaz,avegaar,auger,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/nab%C5%8Dgaizaz,https://en.wiktionary.org/wiki/avegaar,https://en.wiktionary.org/wiki/auger
39,*bērō,baar,bier,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/b%C4%93r%C5%8D,https://en.wiktionary.org/wiki/baar,https://en.wiktionary.org/wiki/bier
40,*bardaz,baard,beard,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bardaz,https://en.wiktionary.org/wiki/baard,https://en.wiktionary.org/wiki/beard
41,*barsaz,baars,barse,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/barsaz,https://en.wiktionary.org/wiki/baars,https://en.wiktionary.org/wiki/barse
42,*barsaz,baars,bass,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/barsaz,https://en.wiktionary.org/wiki/baars,https://en.wiktionary.org/wiki/bass
43,*baswô,baas,boss,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/basw%C3%B4,https://en.wiktionary.org/wiki/baas,https://en.wiktionary.org/wiki/boss
44,*baþą,bad,bath,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ba%C3%BE%C4%85,https://en.wiktionary.org/wiki/bad,https://en.wiktionary.org/wiki/bath
45,*baþōną,baden,bask,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ba%C3%BE%C5%8Dn%C4%85,https://en.wiktionary.org/wiki/baden,https://en.wiktionary.org/wiki/bask
46,*baþōną,baden,bathe,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ba%C3%BE%C5%8Dn%C4%85,https://en.wiktionary.org/wiki/baden,https://en.wiktionary.org/wiki/bathe
47,*baukną,baken,beacon,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/baukn%C4%85,https://en.wiktionary.org/wiki/baken,https://en.wiktionary.org/wiki/beacon
48,*bakaną,bakken,bake,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bakan%C4%85,https://en.wiktionary.org/wiki/bakken,https://en.wiktionary.org/wiki/bake
49,*bakārijaz,bakker,baker,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bak%C4%81rijaz,https://en.wiktionary.org/wiki/bakker,https://en.wiktionary.org/wiki/baker
50,*balluz,bal,ball,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/balluz,https://en.wiktionary.org/wiki/bal,https://en.wiktionary.org/wiki/ball
51,*balgiz,balg,bellows,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/balgiz,https://en.wiktionary.org/wiki/balg,https://en.wiktionary.org/wiki/bellows
52,*balgiz,balg,belly,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/balgiz,https://en.wiktionary.org/wiki/balg,https://en.wiktionary.org/wiki/belly
53,*balkô,balk,balcony,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/balk%C3%B4,https://en.wiktionary.org/wiki/balk,https://en.wiktionary.org/wiki/balcony
54,*balkô,balk,balk,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/balk%C3%B4,https://en.wiktionary.org/wiki/balk,https://en.wiktionary.org/wiki/balk
55,*balkô,balk,debauch,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/balk%C3%B4,https://en.wiktionary.org/wiki/balk,https://en.wiktionary.org/wiki/debauch
56,*bankiz,bank,bank,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bankiz,https://en.wiktionary.org/wiki/bank,https://en.wiktionary.org/wiki/bank
57,*bankiz,bank,bench,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bankiz,https://en.wiktionary.org/wiki/bank,https://en.wiktionary.org/wiki/bench
58,*bankiz,bank,bink,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bankiz,https://en.wiktionary.org/wiki/bank,https://en.wiktionary.org/wiki/bink
59,*bannaną,bannen,abandon,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bannan%C4%85,https://en.wiktionary.org/wiki/bannen,https://en.wiktionary.org/wiki/abandon
60,*bannaną,bannen,ban,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bannan%C4%85,https://en.wiktionary.org/wiki/bannen,https://en.wiktionary.org/wiki/ban
61,*bannaną,bannen,banal,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bannan%C4%85,https://en.wiktionary.org/wiki/bannen,https://en.wiktionary.org/wiki/banal
62,*bannaną,bannen,banish,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bannan%C4%85,https://en.wiktionary.org/wiki/bannen,https://en.wiktionary.org/wiki/banish
63,*brinnaną,barnen,burn,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brinnan%C4%85,https://en.wiktionary.org/wiki/barnen,https://en.wiktionary.org/wiki/burn
64,*brestaną,barsten,burst,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brestan%C4%85,https://en.wiktionary.org/wiki/barsten,https://en.wiktionary.org/wiki/burst
65,*brestaną,barsten,debris,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brestan%C4%85,https://en.wiktionary.org/wiki/barsten,https://en.wiktionary.org/wiki/debris
66,*bi-,be-,be-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/be-,https://en.wiktionary.org/wiki/be-
67,*bi-,be-,bebay,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/be-,https://en.wiktionary.org/wiki/bebay
68,*bi-,be-,beclip,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/be-,https://en.wiktionary.org/wiki/beclip
69,*bi-,be-,befile,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/be-,https://en.wiktionary.org/wiki/befile
70,*bi-,be-,between,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/be-,https://en.wiktionary.org/wiki/between
