,Old Norse Root,Icelandic Word,Norwegian Bokmål Word,Old Norse URL,Icelandic URL,Norwegian Bokmål URL
0,lauss,laus,løs,https://en.wiktionary.org/wiki/lauss#Old_Norse,https://en.wiktionary.org/wiki/laus,https://en.wiktionary.org/wiki/l%C3%B8s
1,nei,nei,nei,https://en.wiktionary.org/wiki/nei#Old_Norse,https://en.wiktionary.org/wiki/nei,https://en.wiktionary.org/wiki/nei
2,akkeri,akkeri,anker,https://en.wiktionary.org/wiki/akkeri#Old_Norse,https://en.wiktionary.org/wiki/akkeri,https://en.wiktionary.org/wiki/anker
3,akr,akur,åker,https://en.wiktionary.org/wiki/akr#Old_Norse,https://en.wiktionary.org/wiki/akur,https://en.wiktionary.org/wiki/%C3%A5ker
4,aldr,aldur,alder,https://en.wiktionary.org/wiki/aldr#Old_Norse,https://en.wiktionary.org/wiki/aldur,https://en.wiktionary.org/wiki/alder
5,aldr,aldur,aldring,https://en.wiktionary.org/wiki/aldr#Old_Norse,https://en.wiktionary.org/wiki/aldur,https://en.wiktionary.org/wiki/aldring
6,allr,allur,all,https://en.wiktionary.org/wiki/allr#Old_Norse,https://en.wiktionary.org/wiki/allur,https://en.wiktionary.org/wiki/all
7,api,api,ape,https://en.wiktionary.org/wiki/api#Old_Norse,https://en.wiktionary.org/wiki/api,https://en.wiktionary.org/wiki/ape
8,arfr,arfur,arv,https://en.wiktionary.org/wiki/arfr#Old_Norse,https://en.wiktionary.org/wiki/arfur,https://en.wiktionary.org/wiki/arv
9,-ari,-ari,-er,https://en.wiktionary.org/wiki/-ari#Old_Norse,https://en.wiktionary.org/wiki/-ari,https://en.wiktionary.org/wiki/-er
10,aska,aska,aske,https://en.wiktionary.org/wiki/aska#Old_Norse,https://en.wiktionary.org/wiki/aska,https://en.wiktionary.org/wiki/aske
11,askr,askur,ask,https://en.wiktionary.org/wiki/askr#Old_Norse,https://en.wiktionary.org/wiki/askur,https://en.wiktionary.org/wiki/ask
12,auka,auka,auke,https://en.wiktionary.org/wiki/auka#Old_Norse,https://en.wiktionary.org/wiki/auka,https://en.wiktionary.org/wiki/auke
13,auka,auka,øke,https://en.wiktionary.org/wiki/auka#Old_Norse,https://en.wiktionary.org/wiki/auka,https://en.wiktionary.org/wiki/%C3%B8ke
14,austr,austur,øst,https://en.wiktionary.org/wiki/austr#Old_Norse,https://en.wiktionary.org/wiki/austur,https://en.wiktionary.org/wiki/%C3%B8st
15,at,að,at,https://en.wiktionary.org/wiki/at#Old_Norse,https://en.wiktionary.org/wiki/a%C3%B0,https://en.wiktionary.org/wiki/at
16,baggi,baggi,bag,https://en.wiktionary.org/wiki/baggi#Old_Norse,https://en.wiktionary.org/wiki/baggi,https://en.wiktionary.org/wiki/bag
17,bak,bak,bak,https://en.wiktionary.org/wiki/bak#Old_Norse,https://en.wiktionary.org/wiki/bak,https://en.wiktionary.org/wiki/bak
18,baka,baka,bake,https://en.wiktionary.org/wiki/baka#Old_Norse,https://en.wiktionary.org/wiki/baka,https://en.wiktionary.org/wiki/bake
19,bakari,bakari,baker,https://en.wiktionary.org/wiki/bakari#Old_Norse,https://en.wiktionary.org/wiki/bakari,https://en.wiktionary.org/wiki/baker
20,bakki,bakki,bakke,https://en.wiktionary.org/wiki/bakki#Old_Norse,https://en.wiktionary.org/wiki/bakki,https://en.wiktionary.org/wiki/bakke
