,Old Norse Root,Icelandic Word,Norwegian Nynorsk Word,Old Norse URL,Icelandic URL,Norwegian Nynorsk URL
0,hamla,hamla,hamla,https://en.wiktionary.org/wiki/hamla#Old_Norse,https://en.wiktionary.org/wiki/hamla,https://en.wiktionary.org/wiki/hamla
1,þeir,þeirra,dei,https://en.wiktionary.org/wiki/%C3%BEeir#Old_Norse,https://en.wiktionary.org/wiki/%C3%BEeirra,https://en.wiktionary.org/wiki/dei
2,lauss,laus,laus,https://en.wiktionary.org/wiki/lauss#Old_Norse,https://en.wiktionary.org/wiki/laus,https://en.wiktionary.org/wiki/laus
3,nei,nei,nei,https://en.wiktionary.org/wiki/nei#Old_Norse,https://en.wiktionary.org/wiki/nei,https://en.wiktionary.org/wiki/nei
4,lok,lok,lokk,https://en.wiktionary.org/wiki/lok#Old_Norse,https://en.wiktionary.org/wiki/lok,https://en.wiktionary.org/wiki/lokk
5,af,af,av,https://en.wiktionary.org/wiki/af#Old_Norse,https://en.wiktionary.org/wiki/af,https://en.wiktionary.org/wiki/av
6,afla,afla,avla,https://en.wiktionary.org/wiki/afla#Old_Norse,https://en.wiktionary.org/wiki/afla,https://en.wiktionary.org/wiki/avla
7,aptr,aftur,att,https://en.wiktionary.org/wiki/aptr#Old_Norse,https://en.wiktionary.org/wiki/aftur,https://en.wiktionary.org/wiki/att
8,aptr,aftur,atter,https://en.wiktionary.org/wiki/aptr#Old_Norse,https://en.wiktionary.org/wiki/aftur,https://en.wiktionary.org/wiki/atter
9,aka,aka,aka,https://en.wiktionary.org/wiki/aka#Old_Norse,https://en.wiktionary.org/wiki/aka,https://en.wiktionary.org/wiki/aka
10,akarn,akarn,åkarn,https://en.wiktionary.org/wiki/akarn#Old_Norse,https://en.wiktionary.org/wiki/akarn,https://en.wiktionary.org/wiki/%C3%A5karn
11,akkeri,akkeri,anker,https://en.wiktionary.org/wiki/akkeri#Old_Norse,https://en.wiktionary.org/wiki/akkeri,https://en.wiktionary.org/wiki/anker
12,akr,akur,åker,https://en.wiktionary.org/wiki/akr#Old_Norse,https://en.wiktionary.org/wiki/akur,https://en.wiktionary.org/wiki/%C3%A5ker
13,ala,ala,ala,https://en.wiktionary.org/wiki/ala#Old_Norse,https://en.wiktionary.org/wiki/ala,https://en.wiktionary.org/wiki/ala
14,aldr,aldur,alder,https://en.wiktionary.org/wiki/aldr#Old_Norse,https://en.wiktionary.org/wiki/aldur,https://en.wiktionary.org/wiki/alder
15,alls,alls,alskens,https://en.wiktionary.org/wiki/alls#Old_Norse,https://en.wiktionary.org/wiki/alls,https://en.wiktionary.org/wiki/alskens
16,allr,allur,all,https://en.wiktionary.org/wiki/allr#Old_Norse,https://en.wiktionary.org/wiki/allur,https://en.wiktionary.org/wiki/all
17,and-,and-,and-,https://en.wiktionary.org/wiki/and-#Old_Norse,https://en.wiktionary.org/wiki/and-,https://en.wiktionary.org/wiki/and-
18,anda,anda,anda,https://en.wiktionary.org/wiki/anda#Old_Norse,https://en.wiktionary.org/wiki/anda,https://en.wiktionary.org/wiki/anda
19,andi,andi,ande,https://en.wiktionary.org/wiki/andi#Old_Norse,https://en.wiktionary.org/wiki/andi,https://en.wiktionary.org/wiki/ande
20,annarr,annar,annan,https://en.wiktionary.org/wiki/annarr#Old_Norse,https://en.wiktionary.org/wiki/annar,https://en.wiktionary.org/wiki/annan
21,api,api,ape,https://en.wiktionary.org/wiki/api#Old_Norse,https://en.wiktionary.org/wiki/api,https://en.wiktionary.org/wiki/ape
22,arfi,arfi,arve,https://en.wiktionary.org/wiki/arfi#Old_Norse,https://en.wiktionary.org/wiki/arfi,https://en.wiktionary.org/wiki/arve
23,arfr,arfur,arv,https://en.wiktionary.org/wiki/arfr#Old_Norse,https://en.wiktionary.org/wiki/arfur,https://en.wiktionary.org/wiki/arv
24,aska,aska,oske,https://en.wiktionary.org/wiki/aska#Old_Norse,https://en.wiktionary.org/wiki/aska,https://en.wiktionary.org/wiki/oske
25,askr,askur,ask,https://en.wiktionary.org/wiki/askr#Old_Norse,https://en.wiktionary.org/wiki/askur,https://en.wiktionary.org/wiki/ask
26,asni,asni,asen,https://en.wiktionary.org/wiki/asni#Old_Norse,https://en.wiktionary.org/wiki/asni,https://en.wiktionary.org/wiki/asen
27,auka,auka,auka,https://en.wiktionary.org/wiki/auka#Old_Norse,https://en.wiktionary.org/wiki/auka,https://en.wiktionary.org/wiki/auka
28,auka,auka,auke,https://en.wiktionary.org/wiki/auka#Old_Norse,https://en.wiktionary.org/wiki/auka,https://en.wiktionary.org/wiki/auke
29,at,að,at,https://en.wiktionary.org/wiki/at#Old_Norse,https://en.wiktionary.org/wiki/a%C3%B0,https://en.wiktionary.org/wiki/at
30,at,að,å,https://en.wiktionary.org/wiki/at#Old_Norse,https://en.wiktionary.org/wiki/a%C3%B0,https://en.wiktionary.org/wiki/%C3%A5
31,baggi,baggi,bag,https://en.wiktionary.org/wiki/baggi#Old_Norse,https://en.wiktionary.org/wiki/baggi,https://en.wiktionary.org/wiki/bag
