,Recipient Language,Source Language(s),Title,Subcategories,Entries,URL
0,English,Austronesian languages,Category:English terms derived from Austronesian languages,9,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Austronesian_languages
1,Spanish,Italic languages,Category:Spanish terms derived from Italic languages,0,11,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Italic_languages
2,Cebuano,Philippine languages,Category:Cebuano terms derived from Philippine languages,4,40,https://en.wiktionary.org/wiki/Category:Cebuano_terms_derived_from_Philippine_languages
3,Portuguese,Romance languages,Category:Portuguese terms derived from Romance languages,7,10,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Romance_languages
4,Portuguese,Afroasiatic languages,Category:Portuguese terms derived from Afroasiatic languages,8,1,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Afroasiatic_languages
5,Finnish,Uralic languages,Category:Finnish terms derived from Uralic languages,1,11,https://en.wiktionary.org/wiki/Category:Finnish_terms_derived_from_Uralic_languages
6,Italian,Romance languages,Category:Italian terms derived from Romance languages,5,11,https://en.wiktionary.org/wiki/Category:Italian_terms_derived_from_Romance_languages
7,French,Italic languages,Category:French terms derived from Italic languages,9,1,https://en.wiktionary.org/wiki/Category:French_terms_derived_from_Italic_languages
8,German,Romance languages,Category:German terms derived from Romance languages,5,11,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_Romance_languages
9,French,Austronesian languages,Category:French terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:French_terms_derived_from_Austronesian_languages
10,Icelandic,Germanic languages,Category:Icelandic terms derived from Germanic languages,6,1,https://en.wiktionary.org/wiki/Category:Icelandic_terms_derived_from_Germanic_languages
11,French,Romance languages,Category:French terms derived from Romance languages,6,10,https://en.wiktionary.org/wiki/Category:French_terms_derived_from_Romance_languages
12,English,Algic languages,Category:English terms derived from Algic languages,2,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Algic_languages
13,Spanish,Romance languages,Category:Spanish terms derived from Romance languages,6,11,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Romance_languages
14,Dutch,Romance languages,Category:Dutch terms derived from Romance languages,3,10,https://en.wiktionary.org/wiki/Category:Dutch_terms_derived_from_Romance_languages
15,Scots,Germanic languages,Category:Scots terms derived from Germanic languages,4,2,https://en.wiktionary.org/wiki/Category:Scots_terms_derived_from_Germanic_languages
16,Faroese,Afroasiatic languages,Category:Faroese terms derived from Afroasiatic languages,5,1,https://en.wiktionary.org/wiki/Category:Faroese_terms_derived_from_Afroasiatic_languages
17,Indonesian,Semitic languages,Category:Indonesian terms derived from Semitic languages,6,1,https://en.wiktionary.org/wiki/Category:Indonesian_terms_derived_from_Semitic_languages
18,Polish,Semitic languages,Category:Polish terms derived from Semitic languages,4,1,https://en.wiktionary.org/wiki/Category:Polish_terms_derived_from_Semitic_languages
19,Italian,Austronesian languages,Category:Italian terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:Italian_terms_derived_from_Austronesian_languages
20,Latin,Afroasiatic languages,Category:Latin terms derived from Afroasiatic languages,6,1,https://en.wiktionary.org/wiki/Category:Latin_terms_derived_from_Afroasiatic_languages
21,Spanish,Afroasiatic languages,Category:Spanish terms derived from Afroasiatic languages,8,1,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Afroasiatic_languages
22,German,Austronesian languages,Category:German terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_Austronesian_languages
23,Translingual,Afroasiatic languages,Category:Translingual terms derived from Afroasiatic languages,4,1,https://en.wiktionary.org/wiki/Category:Translingual_terms_derived_from_Afroasiatic_languages
24,Gujarati,Iranian languages,Category:Gujarati terms derived from Iranian languages,4,1,https://en.wiktionary.org/wiki/Category:Gujarati_terms_derived_from_Iranian_languages
25,Spanish,Austronesian languages,Category:Spanish terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Austronesian_languages
26,Slovak,Slavic languages,Category:Slovak terms derived from Slavic languages,4,1,https://en.wiktionary.org/wiki/Category:Slovak_terms_derived_from_Slavic_languages
27,Russian,Romance languages,Category:Russian terms derived from Romance languages,0,10,https://en.wiktionary.org/wiki/Category:Russian_terms_derived_from_Romance_languages
28,Indonesian,Germanic languages,Category:Indonesian terms derived from Germanic languages,5,2,https://en.wiktionary.org/wiki/Category:Indonesian_terms_derived_from_Germanic_languages
29,Slovak,Semitic languages,Category:Slovak terms derived from Semitic languages,4,2,https://en.wiktionary.org/wiki/Category:Slovak_terms_derived_from_Semitic_languages
30,Polish,Romance languages,Category:Polish terms derived from Romance languages,4,10,https://en.wiktionary.org/wiki/Category:Polish_terms_derived_from_Romance_languages
31,Hindi,Semitic languages,Category:Hindi terms derived from Semitic languages,7,1,https://en.wiktionary.org/wiki/Category:Hindi_terms_derived_from_Semitic_languages
32,Portuguese,Turkic languages,Category:Portuguese terms derived from Turkic languages,5,1,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Turkic_languages
33,Marshallese,Afroasiatic languages,Category:Marshallese terms derived from Afroasiatic languages,3,1,https://en.wiktionary.org/wiki/Category:Marshallese_terms_derived_from_Afroasiatic_languages
34,Cimbrian,Germanic languages,Category:Cimbrian terms derived from Germanic languages,6,1,https://en.wiktionary.org/wiki/Category:Cimbrian_terms_derived_from_Germanic_languages
35,Cebuano,Romance languages,Category:Cebuano terms derived from Romance languages,3,10,https://en.wiktionary.org/wiki/Category:Cebuano_terms_derived_from_Romance_languages
36,Polish,Austronesian languages,Category:Polish terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:Polish_terms_derived_from_Austronesian_languages
37,Greek,Italic languages,Category:Greek terms derived from Italic languages,6,1,https://en.wiktionary.org/wiki/Category:Greek_terms_derived_from_Italic_languages
38,Faroese,Austronesian languages,Category:Faroese terms derived from Austronesian languages,3,1,https://en.wiktionary.org/wiki/Category:Faroese_terms_derived_from_Austronesian_languages
39,Portuguese,Austronesian languages,Category:Portuguese terms derived from Austronesian languages,1,1,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Austronesian_languages
40,Esperanto,Afroasiatic languages,Category:Esperanto terms derived from Afroasiatic languages,6,1,https://en.wiktionary.org/wiki/Category:Esperanto_terms_derived_from_Afroasiatic_languages
41,Tagalog,Philippine languages,Category:Tagalog terms derived from Philippine languages,5,10,https://en.wiktionary.org/wiki/Category:Tagalog_terms_derived_from_Philippine_languages
42,Armenian,Semitic languages,Category:Armenian terms derived from Semitic languages,4,1,https://en.wiktionary.org/wiki/Category:Armenian_terms_derived_from_Semitic_languages
43,Azerbaijani,Semitic languages,Category:Azerbaijani terms derived from Semitic languages,5,1,https://en.wiktionary.org/wiki/Category:Azerbaijani_terms_derived_from_Semitic_languages
44,Italian,Slavic languages,Category:Italian terms derived from Slavic languages,7,1,https://en.wiktionary.org/wiki/Category:Italian_terms_derived_from_Slavic_languages
45,Icelandic,Semitic languages,Category:Icelandic terms derived from Semitic languages,4,1,https://en.wiktionary.org/wiki/Category:Icelandic_terms_derived_from_Semitic_languages
46,Spanish,Slavic languages,Category:Spanish terms derived from Slavic languages,5,1,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Slavic_languages
47,Aromanian,Italic languages,Category:Aromanian terms derived from Italic languages,4,1,https://en.wiktionary.org/wiki/Category:Aromanian_terms_derived_from_Italic_languages
48,Urdu,Iranian languages,Category:Urdu terms derived from Iranian languages,4,1,https://en.wiktionary.org/wiki/Category:Urdu_terms_derived_from_Iranian_languages
49,Gujarati,Germanic languages,Category:Gujarati terms derived from Germanic languages,3,1,https://en.wiktionary.org/wiki/Category:Gujarati_terms_derived_from_Germanic_languages
50,Bashkir,Turkic languages,Category:Bashkir terms derived from Turkic languages,0,10,https://en.wiktionary.org/wiki/Category:Bashkir_terms_derived_from_Turkic_languages
51,Portuguese,Slavic languages,Category:Portuguese terms derived from Slavic languages,8,1,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Slavic_languages
52,English,constructed languages,Category:English terms derived from constructed languages,8,11,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_constructed_languages
